OID_,epafacilityid,epafacilityid_str,lastoffacilityname,lastofparentcompanyname,maxofreceiptdate,lastoffacilityduns,lastoffacilitystr1,lastoffacilitystr2,lastoffacilitycity,lastoffacilitystate,lastoffacilityzipcode,lastofcounty_name,firstofnaicscode,firstofnaics_description,latitude,longitude,lastofhorizontalrefdatumcode,lastoflatlongdescription,feat_desc,lastoffte,oshapsm,epcra302,caa_titlev,clearairoppermitid,lastofsafetyinspectiondate,lastofsafetyinspectionby,deregistrationdate,deregistrationreasoncode,safety_rating
1927,1E+11,EPA100000126776,Piscataway Wastewater Treatment Plant,Washington Suburban Sanitary Commission,18-Jun-04,969150721,11 Farmington Road W.,,Accokeek,MD,20607,PRINCE GEORGE'S,22132,Sewage Treatment Facilities,38.411701,-77.000198,3,CE,Center of Facility,31,1,1,0,,24-Sep-97,State environmental agency,18-Jun-09,2,2
1945,1E+11,EPA100000128444,Upper Smith River Water Filtration Plant,Henry County Public Service Authority,11-Aug-20,0,590 Philpott Drive,,Bassett,VA,24055,HENRY,22131,Water Supply and Irrigation Systems,36.784641,-80.005348,3,PC,Process Unit Area Centroid,8,1,1,0,,2-Apr-01,Woodard & Curran,,,1
1957,1E+11,EPA100000129434,Blackstone Water Utilites,Town of Blackstone,23-Jul-20,0,Building 3430 Garnett Avenue,Hospital Road,Fort Pickett,VA,23824,NOTTOWAY,22131,Water Supply and Irrigation Systems,37.02219,-77.948608,3,PG,Plant Entrance (General),6,1,0,0,,22-May-18,Charles Strickler - Senior Safety Consultant VML,,,4
1969,1E+11,EPA100000130636,Carvins Cove Water Filter Plant,Western Virginia Water Authority,1-May-14,0,8192 Angel Lane,,Roanoke,VA,24019,ROANOKE,22131,Water Supply and Irrigation Systems,37.361942,-79.957779,3,PG,Plant Entrance (General),15,1,0,0,,11-Jul-13,State Health Department Office of Drinking Water,7-Jan-15,4,3
1978,1E+11,EPA100000131332,Pilgrim's Pride - Broadway Processing Plant,Pilgrim's Pride Corporation,10-Mar-19,140036497,330 Coop Drive,,Timberville,VA,22853,ROCKINGHAM,311615,Poultry Processing,38.632156,-78.784355,3,CE,Center of Facility,736,1,1,0,,8-Jun-18,VOSHA,,,1
2005,1E+11,EPA100000132983,"Air Liquide Delaware City, DE CO2 Plant",Air Liquide Industrial US L.P.,16-Sep-14,0,4442 Wrangle Hill Road,,Delaware City,DE,19706,NEW CASTLE,32512,Industrial Gas Manufacturing,39.581089,-75.638466,3,CE,Center of Facility,18,1,1,1,AQM-003/00064,7-Feb-12,State environmental agency,24-Jan-17,3,1
2102,1E+11,EPA100000138111,Molson Coors Shenandoah Brewery,Molson Coors Beverage Company USA LLC,14-Jun-21,622406635,5135 South Eastside Highway,,Elkton,VA,22827,ROCKINGHAM,31212,Breweries,38.357441,-78.675591,3,CE,Center of Facility,535,1,1,1,VRO81012,3-Oct-19,OSHA,,,1
2159,1E+11,EPA100000142151,Blackstone Water Polution Control Facility,Town of Blackstone,28-Aug-20,0,Building 2010 Garnett Avenue,,Fort Pickett,VA,23824,NOTTOWAY,22132,Sewage Treatment Facilities,37.040188,-77.953621,3,PU,Process Unit,6,1,0,0,,22-May-18,Charles Strickler - Senior Safety Consultant VML,,,2
2224,1E+11,EPA100000146335,Reddy Ice-Harrisonburg (402),Reddy Ice LLC,22-Oct-18,0,610 Pleasant Valley Road,,Harrisonburg,VA,22801,HARRISONBURG (CITY),312113,Ice Manufacturing,38.399933,-78.895943,3,PC,Process Unit Area Centroid,30,1,1,0,,1-Feb-18,US Food and Drug Administration,,,4
2246,1E+11,EPA100000147539,Saputo - Frederick,Saputo Inc.,16-Dec-20,185088770,428 E. Patrick Street,,Frederick,MD,21701,FREDERICK,31151,Dairy Product (except Frozen) Manufacturing,39.412651,-77.400887,3,CE,Center of Facility,98,1,1,0,,15-Sep-20,Insurance Company,,,1
2347,1E+11,EPA100000154094,"Allen Harim Foods, LLC - Cordova","Allen Harim Foods, LLC",22-Aug-14,64894025,12041 Cordova Road,,Cordova,MD,21625,TALBOT,311615,Poultry Processing,38.893333,-75.980553,3,CE,Center of Facility,425,1,1,0,,19-Aug-13,"Lamb Group, LLC - 3 year compliance audit",8-Jul-19,4,1
2413,1E+11,EPA100000158036,"Chestertown Foods, Inc.",N/A,23-Jun-04,0,27030 Morgnec Road,,Chestertown,MD,21620,KENT,311615,Poultry Processing,39.241943,-76.031944,3,CE,Center of Facility,200,1,1,0,,19-Feb-98,State occupational safety agency,11-Mar-09,3,2
2416,1E+11,EPA100000158198,Trident Seafoods Bedford Plant,,21-Jan-15,0,940 Orange Street,,Bedford,VA,24523,BEDFORD,311999,All Other Miscellaneous Food Manufacturing,37.337944,-79.497414,3,PG,Plant Entrance (General),75,1,1,0,,3-Mar-14,Fire Department,28-Apr-15,3,1
2516,1E+11,EPA100000163887,UNFI Chester,UNFI,9-Mar-20,0,1135 West Hundred Road,,Chester,VA,23836,CHESTERFIELD,49312,Refrigerated Warehousing and Storage,37.347698,-77.383896,3,PC,Process Unit Area Centroid,40,1,1,0,,30-Dec-13,EPA,,,2
2528,1E+11,EPA100000164742,Motts Runt Water Treatment Plant,Spotsylvania County,28-May-14,0,13000 Trench Hill Lane,,Fredericksburg,VA,22407,SPOTSYLVANIA,22131,Water Supply and Irrigation Systems,38.309666,-77.550529,3,OT,Other,12,1,0,0,,31-Mar-00,Fire Department,26-May-15,2,3
2565,1E+11,EPA100000165965,Baltimore LPG Terminal,"ThompsonGas Propane Holdings, LLC",8-Jun-20,0,3101 Shell Road,,Baltimore,MD,21226,BALTIMORE CITY,42471,Petroleum Bulk Stations and Terminals,39.240639,-76.593056,3,PG,Plant Entrance (General),2,1,0,0,,,Fire Department,,,2
2595,1E+11,EPA100000167295,Cloverland Green Springs Dairy,,1-Jul-19,928786078,2701 Loch Raven Road,,Baltimore,MD,21218,BALTIMORE,311511,Fluid Milk Manufacturing,39.300556,-76.568611,3,PG,Plant Entrance (General),350,1,1,0,,20-Apr-19,Insurance carrier,,,1
2667,1E+11,EPA100000171459,C-N-W  Regional Wastewater Treatment Plant,C-N-W  Regional Wastewater Treatment Authority,11-Sep-20,0,4425 C-N-W Road,,Coeburn,VA,24230,WISE,22132,Sewage Treatment Facilities,36.92738,-82.478249,3,PC,Process Unit Area Centroid,9,1,1,0,,6-Dec-13,State environmental agency,,,1
2672,1E+11,EPA100000171725,"Hanover Foods Corporation - Clayton, DE Plant",Hanover Foods Corporation,10-Jun-20,0,Route Six and Duck Creek Rd.,,Clayton,DE,19938,KENT,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",39.28904,-75.641144,3,FC,Facility Centroid,150,1,1,1,AQM-00100024R1,1-Oct-14,OSHA,,,1
2715,1E+11,EPA100000174045,Wholesome Harvest Bakery,Grupo Bimbo,6-Jul-18,89828644,1955 Blue Hills Drive,,Roanoke,VA,24012,ROANOKE (CITY),311812,Commercial Bakeries,37.307728,-79.906754,3,CE,Center of Facility,325,1,1,0,,4-May-18,Fire Department,,,3
2742,1E+11,EPA100000175384,"Tempur Production USA, Inc.","Tempur Sealy International, Inc.",4-Apr-17,787347434,203 Tempur Pedic Drive,,Duffield,VA,24244,SCOTT,32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,36.708332,-82.798615,3,CE,Center of Facility,300,0,1,0,,13-Mar-06,State occupational safety agency,,,5
2781,1E+11,EPA100000178096,UAP Northeast - Newark MD,"Ag Chem, Inc. d/b/a UAP Northeast",2-Jul-04,0,7531 Queponco Road,,Newark,MD,21841,WORCESTER,42469,Other Chemical and Allied Products Merchant Wholesalers,38.266834,-75.348137,3,PG,Plant Entrance (General),0,0,1,0,,,Never had one,17-Jul-09,4,1
2795,1E+11,EPA100000178639,Calpine - Hay Road Energy Center,"Calpine Mid-Atlantic Generation, LLC",15-May-17,0,198 Hay Road Gate B,,Wilmington,DE,19809,NEW CASTLE,221112,Fossil Fuel Electric Power Generation,39.744389,-75.504066,3,AB,Administrative Building,34,1,0,1,1000300388,19-Mar-17,OSHA,,,1
2823,1E+11,EPA100000180038,James T. Anderson Water Filtration Plant,Frederick County Sanitation Authority,31-Jul-17,0,1381 Brucetown Rd.,,Clearbrook,VA,22624,FREDERICK,22131,Water Supply and Irrigation Systems,39.25872,-78.088181,3,AB,Administrative Building,4,1,1,0,,24-Jul-17,Fire Department,,,3
2856,1E+11,EPA100000181297,SCS - Severn,"Scout Cold Storage Severn, LLC",16-Oct-20,795140433,8024 Telegraph Road,,Severn,MD,21144,ANNE ARUNDEL,49312,Refrigerated Warehousing and Storage,39.121082,-76.691994,3,PU,Process Unit,50,1,1,0,,21-Oct-13,State occupational safety agency,,,4
2899,1E+11,EPA100000183883,Food Lion Distribution Center # 20,"Food Lion, LLC",24-Oct-18,3448560,6500 Enterprise Drive,,Disputanta,VA,23842,PRINCE GEORGE,49312,Refrigerated Warehousing and Storage,37.161861,-77.284386,3,PG,Plant Entrance (General),225,1,1,0,,10-Oct-08,Fire Department,,,1
2928,1E+11,EPA100000185293,Interstate Warehousing Newport News,Tippmann Group,22-Jan-20,43913198,121 Harwood Drive,,Newport News,VA,23603,NEWPORT NEWS (CITY),49312,Refrigerated Warehousing and Storage,37.177223,-76.589447,3,PG,Plant Entrance (General),97,1,0,0,,5-Mar-18,5yr MI Inspection - Outside Contractor,,,5
3022,1E+11,EPA100000189155,"Sysco Baltimore, LLC",Sysco Corporation,17-Jun-20,796923449,8000 Dorsey Run Road,,Jessup,MD,20794,HOWARD,42441,General Line Grocery Merchant Wholesalers,39.152351,-76.783363,3,ST,Storage Tank,417,1,1,0,,22-Nov-19,Howard Co. Office of Emerg. Mgmt (Fire Marshall),,,1
3026,1E+11,EPA100000189333,Reddy Ice-Landover (427),Reddy Ice Corporation,30-Sep-19,0,7100-B Old Landover Road,,Landover,MD,20785,PRINCE GEORGE'S,312113,Ice Manufacturing,38.929798,-76.890404,3,PC,Process Unit Area Centroid,32,1,1,0,,2-Oct-18,External Mechanical Integrity Contractor,,,1
3119,1E+11,EPA100000193131,"Sysco Virginia, LLC",Sysco Corporation,22-Oct-20,0,5081 S. Valley Pike,,Harrisonburg,VA,22801,ROCKINGHAM,49312,Refrigerated Warehousing and Storage,38.379971,-78.923584,3,ST,Storage Tank,305,1,1,0,,8-Nov-18,Virginia Department of Labor & Industry,,,1
3228,1E+11,EPA100000198001,"Sysco Hampton Roads, Inc.",Sysco Corporation,9-Jun-21,3176880,7000 Harbour View Blvd.,,Suffolk,VA,23435,SUFFOLK (CITY),42441,General Line Grocery Merchant Wholesalers,36.888691,-76.434044,3,PU,Process Unit,200,1,1,0,,20-Nov-19,EPA,,,3
3251,1E+11,EPA100000198975,Americold - Perryville MD,"Americold Logistics, LLC",20-Aug-20,0,300 Belvidere Road,,Perryville,MD,21903,CECIL,49312,Refrigerated Warehousing and Storage,39.59491,-76.017456,3,PC,Process Unit Area Centroid,52,1,1,0,,22-Mar-18,Fire Department,,,2
3309,1E+11,EPA100000201211,Mennel Milling Company of Virginia,Mennel Milling Company,31-Oct-17,64701212,5185 Benois Road,,Roanoke,VA,24018,ROANOKE,31121,Flour Milling and Malt Manufacturing,37.21286,-79.99353,3,AB,Administrative Building,24,1,1,0,,,Fire Department,,,4
3392,1E+11,EPA100000204085,"Doe and Ingalls of Virginia Operating, LLC.","Doe and Ingalls Management, LLC.",2-Oct-08,37202343,5401 Lewis Road,Suite A,Sandstion,VA,23150,HENRICO,42469,Other Chemical and Allied Products Merchant Wholesalers,37.514263,-77.340431,3,AB,Administrative Building,12,0,1,0,,,State occupational safety agency,21-Mar-13,3,1
3445,1E+11,EPA100000206332,State Farm Work Center. Water Treatment Plant,,19-Mar-19,0,1954 State Farm Rd.,,State Farm,VA,23160,GOOCHLAND,92214,Correctional Institutions,37.650028,-77.81694,3,PG,Plant Entrance (General),7,1,0,0,,27-Nov-18,Fire Department,,,1
3514,1E+11,EPA100000209142,City of Buena Vista Wastewater Treatment Plant,"City of Buena Vista, Virginia",16-Jul-19,0,301 West 10th Street,,Buena Vista,VA,24416,ROCKBRIDGE,22132,Sewage Treatment Facilities,37.726578,-79.362709,3,PC,Process Unit Area Centroid,4,1,1,0,,25-Sep-13,OSHA,,,5
3520,1E+11,EPA100000209295,Motiva Baltimore Terminal,Motiva Enterprises LLC,24-Sep-18,23838670,2400 Petrolia Ave.,,Baltimore,MD,21226,BALTIMORE,42471,Petroleum Bulk Stations and Terminals,39.234463,-76.566986,3,ST,Storage Tank,12,1,0,1,2451000728,14-Aug-18,Baltimore City Fire Department,,,1
3529,1E+11,EPA100000209482,Green Plains Hopewell LLC,Green Plains Inc.,24-Nov-15,0,701 South 6th Avenue,,Hopewell,VA,23860,HOPEWELL (CITY),325193,Ethyl Alcohol Manufacturing,37.29763,-77.287758,3,CE,Center of Facility,45,1,1,0,,19-Nov-15,State environmental agency,24-Jun-20,3,1
3534,1E+11,EPA100000209605,Baltimore MD Terminal,"Sunoco Partners Mktg & Terminals, L.P",2-Jun-20,0,2155 Northbridge Ave,,Baltimore,MD,21226,BALTIMORE,42471,Petroleum Bulk Stations and Terminals,39.229027,-76.57,3,ST,Storage Tank,6,1,0,1,24-510-00703,19-Dec-19,US Coast Guard,,,1
3758,1E+11,EPA100000216802,Richmond Terminal,"Kinder Morgan Southeast Terminals, LLC",15-Feb-17,0,2000 Trenton Avenue,,Richmond,VA,23234,RICHMOND (CITY),42471,Petroleum Bulk Stations and Terminals,37.458534,-77.436119,3,ST,Storage Tank,5,1,0,1,5176000098,7-Feb-12,Fire Marshal,,,2
